image_name,timestamp
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 044.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 045.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 046.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 047.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 048.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 049.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 050.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 051.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 052.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 053.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 054.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 055.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 056.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 057.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 058.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 059.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 060.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 061.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 062.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 063.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 064.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 065.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 066.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 067.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 068.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 069.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 070.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 071.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 072.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 073.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 074.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 075.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 076.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 077.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 078.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 079.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 080.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 081.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 082.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 083.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 084.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 085.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 086.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 087.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 088.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 089.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 090.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 091.jpg,2022-06-03T13:16:25Z
https://roadanomalydetect.blob.core.windows.net/badsboys/FILE220603-131625-009281 092.jpg,2022-06-03T13:16:25Z
